id,conversation_id,created_at,date,time,user_id,username,language,hashtags,cashtags,retweet,geo
1.50964E+18,1.50964E+18,2022-03-31 17:17:25 Eastern Daylight Time,3/31/2022,17:17:25,1.41294E+18,sylviasgoodman4,en,[],[],FALSE,"40.7128,-74.0060,50km"
1.50926E+18,1.50926E+18,2022-03-30 16:13:50 Eastern Daylight Time,3/30/2022,16:13:50,1.24526E+18,tanarosemusic,en,"['music', 'artist', 'pop', 'singer', 'dj', 'song', 'musician', 'popmusic', 'top40', 'hits', 'newmusic', 'newsong', 'popular', 'latesthits']",[],FALSE,"34.0522,-118.2437,50km"
1.50939E+18,1.50939E+18,2022-03-31 00:30:49 Eastern Daylight Time,3/31/2022,0:30:49,317969698,teamavalos_kw,en,"['amc', 'chokeonthat', 'amcstrong']",[],FALSE,"34.0522,-118.2437,50km"
1.50955E+18,1.50955E+18,2022-03-31 11:06:16 Eastern Daylight Time,3/31/2022,11:06:16,245531160,tedsirota,en,"['wagnergroup', 'azovregiment']",[],FALSE,"41.8781,-87.6298,50km"
1.50136E+18,1.50136E+18,2022-03-08 19:34:45 Eastern Standard Time,3/8/2022,19:34:45,17911134,teenmethuselah,en,[],[],FALSE,"38.6270,-90.1994,50km"
1.50136E+18,1.50136E+18,2022-03-08 19:34:45 Eastern Standard Time,3/8/2022,19:34:45,17911134,teenmethuselah,en,[],[],FALSE,"38.6270,-90.1994,50km"
1.50136E+18,1.50136E+18,2022-03-08 19:42:58 Eastern Standard Time,3/8/2022,19:42:58,17911134,teenmethuselah,en,[],[],FALSE,"38.6270,-90.1994,50km"
1.50136E+18,1.50136E+18,2022-03-08 19:54:32 Eastern Standard Time,3/8/2022,19:54:32,17911134,teenmethuselah,en,[],[],FALSE,"38.6270,-90.1994,50km"
1.50173E+18,1.50173E+18,2022-03-09 20:40:04 Eastern Standard Time,3/9/2022,20:40:04,17911134,teenmethuselah,en,[],[],FALSE,"38.6270,-90.1994,50km"
1.509E+18,1.50899E+18,2022-03-29 22:39:37 Eastern Daylight Time,3/29/2022,22:39:37,14456685,tentwentysixpm,en,[],[],FALSE,"34.0522,-118.2437,50km"
